Page Name,PageLabelId,Page Label Name,ValueRT,Storefront
All,DR_No_Multi_TI_SupportedGlobalAll,DR_No_Multi_TI_Supported,*Multiple saved tax identifiers of the same type are not permitted.,Global
All,DR_Change_To_IndividualGlobalAll,DR_Change_To_Individual,Change to Individual,Global
All,CheckOut_applyGlobalAll,CheckOut_apply,Apply Tax Identifiers,Global
All,DR_Change_To_BusinessGlobalAll,DR_Change_To_Business,Change to Business,Global
All,DR_Purchase_TypeGlobalAll,DR_Purchase_Type,Purchase Type:,Global
All,DR_Problem_Applying_Tax_IdentifierGlobalAll,DR_Problem_Applying_Tax_Identifier,There was a problem applying the tax identifier to the checkout,Global
All,Apply_Saved_IdentifierGlobalAll,Apply_Saved_Identifier,Apply Saved Tax Identifiers,Global
All,Manage_Tax_IdentifierGlobalAll,Manage_Tax_Identifier,Manage My Tax Identifiers,Global
All,Other_Tax_IdentifierGlobalAll,Other_Tax_Identifier,Other Tax Identifier,Global
All,Tax_IdentifierGlobalAll,Tax_Identifier,Tax Identifiers,Global
All,DR_Tax_Identifier_Applied_SuccessGlobalAll,DR_Tax_Identifier_Applied_Success,Tax identifier successfully Applied,Global
All,DR_Error_Removing_Tax_IdentifiersGlobalAll,DR_Error_Removing_Tax_Identifiers,Tax identifier can not be removed.,Global
All,DR_Problem_Updating_Purchase_TypeGlobalAll,DR_Problem_Updating_Purchase_Type,There was a problem updating purchase type.,Global
All,DR_Purchase_Type_updated_successfullyGlobalAll,DR_Purchase_Type_updated_successfully,Purchase type successfully updated to,Global
All,DR_Tax_Identifier_Removed_SuccessfullyGlobalAll,DR_Tax_Identifier_Removed_Successfully,Tax identifier removed successfully,Global
All,DR_Business_Entity_Code_ErrorGlobalAll,DR_Business_Entity_Code_Error,Did not get Business Entity Code,Global
